age,wage,educ
31,30000,bachelor's degree
28,30000,some college but no degree
33,26000,high school diploma or equivalent
44,55000,high school diploma or equivalent
46,58000,high school diploma or equivalent
48,72000,high school diploma or equivalent
37,0,some college but no degree
50,60000,bachelor's degree
35,0,some college but no degree
50,36000,high school diploma or equivalent
39,20000,bachelor's degree
43,0,bachelor's degree
26,45200,bachelor's degree
46,52000,some college but no degree
41,65000,master's degree
46,5000,grades 7 or 8
40,50000,high school diploma or equivalent
48,500,professional school degree
50,26000,grades 5 or 6
34,40000,grade 10
27,17200,"associate's degree, academic program"
45,47000,high school diploma or equivalent
49,65000,master's degree
49,0,professional school degree
44,35000,high school diploma or equivalent
36,25000,high school diploma or equivalent
24,33400,bachelor's degree
41,74881,bachelor's degree
41,68000,grade 9
34,38480,bachelor's degree
46,68000,"associate's degree, occupational/vocational program"
20,4588,some college but no degree
47,110000,some college but no degree
49,0,some college but no degree
34,37000,some college but no degree
50,35000,some college but no degree
35,0,high school diploma or equivalent
37,16900,high school diploma or equivalent
42,22000,bachelor's degree
43,0,high school diploma or equivalent
22,100037,some college but no degree
48,91000,bachelor's degree
32,51000,master's degree
42,150000,master's degree
43,70000,bachelor's degree
44,52000,some college but no degree
37,41600,"associate's degree, occupational/vocational program"
30,27000,bachelor's degree
35,65000,doctorate degree
46,52000,"associate's degree, occupational/vocational program"
42,0,some college but no degree
29,0,some college but no degree
37,21800,high school diploma or equivalent
26,12000,"associate's degree, academic program"
49,47500,some college but no degree
46,64000,some college but no degree
22,8900,some college but no degree
29,45000,bachelor's degree
47,0,high school diploma or equivalent
24,8200,master's degree
31,72000,bachelor's degree
49,10000,bachelor's degree
22,150,some college but no degree
22,2000,some college but no degree
45,31000,high school diploma or equivalent
36,25000,some college but no degree
47,45000,"associate's degree, occupational/vocational program"
33,20800,some college but no degree
39,0,high school diploma or equivalent
30,0,"12th grade, no diploma"
50,40000,some college but no degree
42,105000,bachelor's degree
41,31000,high school diploma or equivalent
35,53000,bachelor's degree
36,35000,high school diploma or equivalent
40,50000,high school diploma or equivalent
31,18448,"associate's degree, occupational/vocational program"
43,0,"associate's degree, occupational/vocational program"
50,42000,"associate's degree, academic program"
50,82028,some college but no degree
20,0,high school diploma or equivalent
20,14000,some college but no degree
37,30000,bachelor's degree
47,48000,high school diploma or equivalent
27,24500,some college but no degree
29,23000,some college but no degree
50,24000,bachelor's degree
33,54000,bachelor's degree
36,229339,professional school degree
33,38000,some college but no degree
31,13000,high school diploma or equivalent
45,57000,some college but no degree
31,1500,high school diploma or equivalent
28,18000,high school diploma or equivalent
50,35000,bachelor's degree
36,22000,bachelor's degree
41,70000,high school diploma or equivalent
20,1500,some college but no degree
38,229339,some college but no degree
40,96000,some college but no degree
50,70000,master's degree
31,25000,high school diploma or equivalent
34,65000,bachelor's degree
46,0,some college but no degree
38,60000,master's degree
37,37000,some college but no degree
43,33000,some college but no degree
21,2000,some college but no degree
32,25000,high school diploma or equivalent
39,13000,grade 10
46,48000,high school diploma or equivalent
34,40000,high school diploma or equivalent
39,38000,high school diploma or equivalent
45,28000,high school diploma or equivalent
25,14600,high school diploma or equivalent
27,257525,high school diploma or equivalent
26,0,bachelor's degree
43,0,"associate's degree, occupational/vocational program"
39,41596,doctorate degree
33,52000,bachelor's degree
31,20000,high school diploma or equivalent
32,14080,"associate's degree, occupational/vocational program"
46,50000,high school diploma or equivalent
31,60000,bachelor's degree
40,25000,high school diploma or equivalent
29,0,high school diploma or equivalent
29,30000,professional school degree
48,0,high school diploma or equivalent
27,25000,"associate's degree, academic program"
43,45000,bachelor's degree
33,880,some college but no degree
45,229339,some college but no degree
34,88000,some college but no degree
36,24000,high school diploma or equivalent
50,20800,high school diploma or equivalent
23,50000,bachelor's degree
43,100000,master's degree
28,10000,some college but no degree
33,43000,high school diploma or equivalent
32,45000,bachelor's degree
37,0,high school diploma or equivalent
39,50000,high school diploma or equivalent
39,0,high school diploma or equivalent
44,40000,high school diploma or equivalent
26,2500,grade 11
47,11900,grade 9
38,77000,bachelor's degree
50,85000,professional school degree
43,10080,some college but no degree
29,0,grades 7 or 8
49,26000,high school diploma or equivalent
31,16000,some college but no degree
25,16640,bachelor's degree
48,30000,bachelor's degree
46,40000,bachelor's degree
22,40000,some college but no degree
20,6700,some college but no degree
50,0,some college but no degree
47,65000,high school diploma or equivalent
37,42000,high school diploma or equivalent
25,0,grade 9
41,15000,high school diploma or equivalent
34,82000,bachelor's degree
29,25000,bachelor's degree
34,257525,high school diploma or equivalent
32,5280,some college but no degree
34,58000,professional school degree
46,229339,bachelor's degree
42,229339,high school diploma or equivalent
49,0,doctorate degree
48,26000,high school diploma or equivalent
43,17680,grade 9
35,85000,bachelor's degree
39,900,high school diploma or equivalent
43,33000,bachelor's degree
41,45000,high school diploma or equivalent
39,229339,bachelor's degree
43,33000,some college but no degree
39,229339,professional school degree
37,30000,bachelor's degree
32,60000,bachelor's degree
31,120000,bachelor's degree
40,25000,grade 10
38,21820,high school diploma or equivalent
39,229339,bachelor's degree
39,38000,high school diploma or equivalent
38,14900,high school diploma or equivalent
33,14000,bachelor's degree
31,40000,high school diploma or equivalent
25,18000,high school diploma or equivalent
21,30000,high school diploma or equivalent
24,20000,some college but no degree
47,1500,high school diploma or equivalent
26,49500,some college but no degree
42,39000,some college but no degree
24,12250,bachelor's degree
28,50000,"associate's degree, occupational/vocational program"
29,103675,high school diploma or equivalent
37,57000,bachelor's degree
37,229339,bachelor's degree
37,35500,some college but no degree
37,37000,high school diploma or equivalent
50,127000,master's degree
46,146000,master's degree
35,71000,"associate's degree, academic program"
42,37000,some college but no degree
33,45000,high school diploma or equivalent
45,56000,"associate's degree, occupational/vocational program"
40,58000,bachelor's degree
48,45000,bachelor's degree
29,17800,"grades 1, 2, 3, or 4"
43,85000,bachelor's degree
47,229339,bachelor's degree
42,40000,high school diploma or equivalent
38,85000,bachelor's degree
34,18200,high school diploma or equivalent
32,0,"12th grade, no diploma"
45,0,high school diploma or equivalent
41,35000,high school diploma or equivalent
40,63000,master's degree
29,140000,master's degree
50,23264,bachelor's degree
20,1200,some college but no degree
34,85000,some college but no degree
37,24000,high school diploma or equivalent
34,60002,some college but no degree
25,12000,some college but no degree
20,14000,grade 9
32,43000,high school diploma or equivalent
36,22904,high school diploma or equivalent
30,48000,some college but no degree
28,45000,master's degree
23,1000,some college but no degree
48,30000,grades 5 or 6
41,60000,some college but no degree
40,5000,grade 11
33,33488,"associate's degree, occupational/vocational program"
21,8950,high school diploma or equivalent
38,21000,high school diploma or equivalent
41,229339,doctorate degree
34,0,some college but no degree
29,4000,some college but no degree
50,35000,bachelor's degree
45,14560,grade 11
24,20000,"associate's degree, academic program"
20,520,some college but no degree
31,33000,high school diploma or equivalent
38,120000,high school diploma or equivalent
46,105000,doctorate degree
33,40000,high school diploma or equivalent
44,0,high school diploma or equivalent
39,100000,bachelor's degree
45,70000,some college but no degree
33,80000,bachelor's degree
37,44400,high school diploma or equivalent
35,0,some college but no degree
32,30000,high school diploma or equivalent
33,17000,high school diploma or equivalent
45,11000,some college but no degree
27,35000,high school diploma or equivalent
27,40000,"associate's degree, occupational/vocational program"
26,15700,bachelor's degree
42,0,bachelor's degree
27,0,high school diploma or equivalent
24,0,high school diploma or equivalent
22,4500,"12th grade, no diploma"
40,30000,"associate's degree, academic program"
23,15000,grade 11
23,16500,bachelor's degree
22,22000,some college but no degree
45,80000,bachelor's degree
39,4500,high school diploma or equivalent
35,100000,master's degree
40,35000,"associate's degree, academic program"
38,31200,high school diploma or equivalent
40,70000,high school diploma or equivalent
46,40500,some college but no degree
47,30000,high school diploma or equivalent
48,130000,bachelor's degree
42,37000,bachelor's degree
45,229339,master's degree
46,36000,"associate's degree, occupational/vocational program"
29,85000,professional school degree
38,229339,some college but no degree
40,229339,bachelor's degree
23,4000,high school diploma or equivalent
29,25000,bachelor's degree
44,20000,high school diploma or equivalent
38,11700,high school diploma or equivalent
43,0,grade 9
33,9400,bachelor's degree
35,10000,grade 9
37,21000,"12th grade, no diploma"
46,13800,bachelor's degree
20,15000,some college but no degree
45,60000,some college but no degree
31,35000,some college but no degree
49,31000,master's degree
31,18000,high school diploma or equivalent
34,112000,bachelor's degree
43,75000,some college but no degree
49,19500,high school diploma or equivalent
24,13000,high school diploma or equivalent
42,53853,high school diploma or equivalent
47,0,grade 11
44,100000,bachelor's degree
46,25000,professional school degree
50,54608,high school diploma or equivalent
32,30000,some college but no degree
30,36115,some college but no degree
34,31512,"associate's degree, occupational/vocational program"
47,33800,high school diploma or equivalent
32,34060,high school diploma or equivalent
35,23000,"associate's degree, academic program"
33,23000,bachelor's degree
48,44096,high school diploma or equivalent
39,40000,some college but no degree
33,44000,high school diploma or equivalent
35,44000,high school diploma or equivalent
49,42000,bachelor's degree
20,2200,some college but no degree
48,52000,high school diploma or equivalent
44,70300,bachelor's degree
35,30000,high school diploma or equivalent
40,0,high school diploma or equivalent
28,40000,some college but no degree
41,115175,master's degree
22,27000,high school diploma or equivalent
20,9400,high school diploma or equivalent
46,44000,high school diploma or equivalent
24,15000,some college but no degree
21,4500,some college but no degree
39,54861,some college but no degree
45,49000,"associate's degree, academic program"
46,91000,some college but no degree
30,66000,high school diploma or equivalent
30,50000,bachelor's degree
40,0,bachelor's degree
47,28000,grade 11
32,60000,some college but no degree
31,38000,high school diploma or equivalent
23,34000,bachelor's degree
22,29500,bachelor's degree
42,31000,high school diploma or equivalent
50,78000,bachelor's degree
38,50000,high school diploma or equivalent
47,74000,"associate's degree, academic program"
45,229339,bachelor's degree
41,32000,high school diploma or equivalent
43,40000,high school diploma or equivalent
47,229339,bachelor's degree
46,80000,bachelor's degree
42,0,some college but no degree
31,45000,high school diploma or equivalent
49,56000,bachelor's degree
40,0,bachelor's degree
20,2500,high school diploma or equivalent
34,33000,high school diploma or equivalent
47,35000,high school diploma or equivalent
50,229339,high school diploma or equivalent
27,35000,bachelor's degree
39,41740,bachelor's degree
28,52100,high school diploma or equivalent
33,0,high school diploma or equivalent
39,23680,high school diploma or equivalent
31,2000,high school diploma or equivalent
36,59000,"12th grade, no diploma"
49,65000,bachelor's degree
37,18000,high school diploma or equivalent
41,61000,high school diploma or equivalent
29,18928,some college but no degree
29,15600,"associate's degree, occupational/vocational program"
27,12000,high school diploma or equivalent
42,60000,some college but no degree
29,40560,high school diploma or equivalent
34,49536,some college but no degree
43,229339,some college but no degree
31,24830,some college but no degree
34,50000,high school diploma or equivalent
38,38584,high school diploma or equivalent
47,83000,"associate's degree, occupational/vocational program"
39,0,high school diploma or equivalent
43,49000,bachelor's degree
48,0,professional school degree
37,70000,master's degree
24,0,some college but no degree
38,42000,"associate's degree, occupational/vocational program"
38,78000,master's degree
29,40000,"associate's degree, academic program"
45,28000,high school diploma or equivalent
43,58000,bachelor's degree
41,24000,grade 10
26,45000,bachelor's degree
41,75000,bachelor's degree
34,40000,bachelor's degree
35,33600,high school diploma or equivalent
35,0,bachelor's degree
48,0,master's degree
33,38000,high school diploma or equivalent
31,0,some college but no degree
30,48000,high school diploma or equivalent
22,2240,high school diploma or equivalent
42,12000,"associate's degree, occupational/vocational program"
21,0,some college but no degree
27,25000,high school diploma or equivalent
45,65000,bachelor's degree
27,18400,some college but no degree
22,9500,some college but no degree
49,229339,master's degree
50,60000,bachelor's degree
39,12500,professional school degree
45,28000,master's degree
43,60000,master's degree
40,30420,some college but no degree
44,36000,"associate's degree, occupational/vocational program"
40,63000,bachelor's degree
37,66716,"associate's degree, academic program"
50,0,some college but no degree
40,0,doctorate degree
48,30000,high school diploma or equivalent
21,12000,some college but no degree
21,7000,high school diploma or equivalent
40,26000,high school diploma or equivalent
21,8710,some college but no degree
41,30000,high school diploma or equivalent
31,92000,some college but no degree
39,34000,some college but no degree
46,108416,master's degree
43,132000,master's degree
49,60000,"associate's degree, occupational/vocational program"
37,32000,high school diploma or equivalent
34,42000,some college but no degree
36,146000,master's degree
43,65000,high school diploma or equivalent
45,53000,bachelor's degree
49,0,high school diploma or equivalent
41,75000,doctorate degree
41,20800,grades 5 or 6
36,16900,high school diploma or equivalent
39,0,"associate's degree, academic program"
45,126000,doctorate degree
38,70000,high school diploma or equivalent
32,19250,high school diploma or equivalent
39,40000,high school diploma or equivalent
25,18000,some college but no degree
34,0,high school diploma or equivalent
48,75000,bachelor's degree
42,125000,bachelor's degree
41,99600,bachelor's degree
43,48000,some college but no degree
21,8000,high school diploma or equivalent
42,40000,high school diploma or equivalent
34,15000,high school diploma or equivalent
49,9000,high school diploma or equivalent
46,0,high school diploma or equivalent
49,28080,high school diploma or equivalent
31,40000,high school diploma or equivalent
27,38000,bachelor's degree
24,7150,"associate's degree, academic program"
20,7150,some college but no degree
41,78000,"associate's degree, occupational/vocational program"
29,39000,master's degree
23,0,high school diploma or equivalent
21,5000,"associate's degree, occupational/vocational program"
32,58000,some college but no degree
34,16000,some college but no degree
43,55000,bachelor's degree
35,138000,some college but no degree
40,8000,bachelor's degree
32,0,bachelor's degree
37,50000,high school diploma or equivalent
31,58000,some college but no degree
40,25000,bachelor's degree
20,10400,high school diploma or equivalent
49,68000,doctorate degree
35,56000,some college but no degree
35,91000,master's degree
48,229339,bachelor's degree
35,19000,high school diploma or equivalent
35,24000,high school diploma or equivalent
23,28000,bachelor's degree
36,11112,some college but no degree
42,8550,high school diploma or equivalent
28,20800,high school diploma or equivalent
37,36000,"grades 1, 2, 3, or 4"
39,35000,none or preschool
24,19000,high school diploma or equivalent
30,18000,high school diploma or equivalent
34,15000,high school diploma or equivalent
25,25000,high school diploma or equivalent
30,44000,some college but no degree
39,50000,high school diploma or equivalent
34,80000,high school diploma or equivalent
31,39000,"associate's degree, academic program"
48,57000,high school diploma or equivalent
32,120000,bachelor's degree
41,75000,"associate's degree, academic program"
43,46000,master's degree
35,40000,"associate's degree, academic program"
31,12000,grade 10
30,30000,high school diploma or equivalent
21,6500,high school diploma or equivalent
40,53000,bachelor's degree
40,16000,high school diploma or equivalent
36,33000,some college but no degree
41,27500,high school diploma or equivalent
28,0,some college but no degree
28,53000,bachelor's degree
40,2000,high school diploma or equivalent
36,0,grade 10
32,3800,grade 11
40,45000,bachelor's degree
49,30500,some college but no degree
48,50000,some college but no degree
20,17000,high school diploma or equivalent
31,35000,bachelor's degree
27,22000,high school diploma or equivalent
31,34700,high school diploma or equivalent
24,0,high school diploma or equivalent
34,15040,some college but no degree
38,60000,master's degree
32,50000,bachelor's degree
37,24960,grade 11
48,43000,high school diploma or equivalent
23,0,high school diploma or equivalent
21,2000,high school diploma or equivalent
38,27000,high school diploma or equivalent
34,15000,high school diploma or equivalent
21,0,some college but no degree
43,22000,high school diploma or equivalent
50,27000,high school diploma or equivalent
32,33000,high school diploma or equivalent
25,20000,some college but no degree
43,31000,master's degree
33,45000,some college but no degree
49,0,high school diploma or equivalent
32,28080,some college but no degree
27,35000,some college but no degree
30,45000,"12th grade, no diploma"
40,42000,high school diploma or equivalent
47,7800,high school diploma or equivalent
44,16000,grade 10
32,28080,high school diploma or equivalent
34,52000,high school diploma or equivalent
34,19110,grade 11
32,9250,grade 11
27,44000,bachelor's degree
33,14000,high school diploma or equivalent
43,28500,some college but no degree
42,5000,doctorate degree
40,52000,high school diploma or equivalent
29,30000,some college but no degree
38,39000,high school diploma or equivalent
29,19000,high school diploma or equivalent
33,15000,high school diploma or equivalent
28,35000,bachelor's degree
26,50000,bachelor's degree
35,22000,bachelor's degree
36,20800,high school diploma or equivalent
30,30000,grade 10
24,60000,bachelor's degree
24,25000,bachelor's degree
39,37000,some college but no degree
22,22000,some college but no degree
24,35000,high school diploma or equivalent
26,24000,grades 5 or 6
37,4800,grades 5 or 6
25,24000,high school diploma or equivalent
49,90000,bachelor's degree
43,60000,high school diploma or equivalent
37,65000,bachelor's degree
49,103000,bachelor's degree
33,75000,some college but no degree
35,80000,some college but no degree
31,6000,high school diploma or equivalent
31,68000,master's degree
40,55000,bachelor's degree
38,59000,bachelor's degree
46,84000,some college but no degree
50,71800,master's degree
38,37440,bachelor's degree
45,80000,bachelor's degree
31,34000,high school diploma or equivalent
46,0,high school diploma or equivalent
48,40000,some college but no degree
35,33000,high school diploma or equivalent
37,76000,master's degree
39,35000,"associate's degree, academic program"
40,150000,master's degree
39,54000,bachelor's degree
30,9000,"associate's degree, occupational/vocational program"
31,41830,some college but no degree
35,45000,bachelor's degree
37,0,master's degree
23,28000,some college but no degree
34,90000,bachelor's degree
39,50000,high school diploma or equivalent
21,6000,some college but no degree
48,24000,some college but no degree
20,14560,high school diploma or equivalent
32,27000,high school diploma or equivalent
50,33000,master's degree
32,44000,"associate's degree, occupational/vocational program"
27,60000,master's degree
28,45000,high school diploma or equivalent
30,55000,bachelor's degree
27,30000,bachelor's degree
39,110000,master's degree
41,65000,bachelor's degree
39,6200,some college but no degree
25,13000,"associate's degree, academic program"
24,30000,high school diploma or equivalent
23,10000,some college but no degree
21,0,some college but no degree
40,45000,high school diploma or equivalent
43,32000,"associate's degree, occupational/vocational program"
39,70000,bachelor's degree
39,0,high school diploma or equivalent
21,6760,high school diploma or equivalent
24,22000,bachelor's degree
46,0,bachelor's degree
24,20800,some college but no degree
46,24341,"associate's degree, occupational/vocational program"
37,115000,bachelor's degree
41,48000,bachelor's degree
45,125000,bachelor's degree
49,25000,some college but no degree
34,70000,some college but no degree
47,36000,grade 9
38,229339,"associate's degree, occupational/vocational program"
44,43000,some college but no degree
35,30000,bachelor's degree
33,45000,high school diploma or equivalent
23,20000,some college but no degree
39,81000,high school diploma or equivalent
39,30000,high school diploma or equivalent
39,32240,some college but no degree
42,53000,some college but no degree
35,28000,bachelor's degree
35,25000,bachelor's degree
40,23000,high school diploma or equivalent
22,0,some college but no degree
45,25500,bachelor's degree
25,600,some college but no degree
27,0,high school diploma or equivalent
29,100000,"associate's degree, occupational/vocational program"
44,60000,grade 9
46,7200,high school diploma or equivalent
22,7104,high school diploma or equivalent
35,58000,bachelor's degree
37,54000,bachelor's degree
44,0,bachelor's degree
41,20800,high school diploma or equivalent
45,45000,some college but no degree
21,7902,high school diploma or equivalent
31,125037,master's degree
21,2000,some college but no degree
21,2000,some college but no degree
40,95000,master's degree
42,100000,bachelor's degree
50,10000,bachelor's degree
40,900,high school diploma or equivalent
36,60000,some college but no degree
33,52000,professional school degree
37,72000,some college but no degree
20,55000,high school diploma or equivalent
35,80000,master's degree
43,52000,some college but no degree
42,35000,bachelor's degree
33,100000,bachelor's degree
35,13000,high school diploma or equivalent
36,75000,high school diploma or equivalent
28,59000,bachelor's degree
26,30000,bachelor's degree
24,1445,grade 10
30,257525,high school diploma or equivalent
31,6000,grade 11
34,60000,bachelor's degree
50,0,bachelor's degree
42,26000,high school diploma or equivalent
47,900,high school diploma or equivalent
26,31200,some college but no degree
25,0,"grades 1, 2, 3, or 4"
49,30000,bachelor's degree
23,20000,some college but no degree
21,0,some college but no degree
36,20000,bachelor's degree
21,0,high school diploma or equivalent
27,32000,high school diploma or equivalent
50,45000,bachelor's degree
32,37000,some college but no degree
34,60000,"associate's degree, academic program"
37,26000,"associate's degree, academic program"
29,30000,"associate's degree, academic program"
36,56000,high school diploma or equivalent
44,26000,some college but no degree
39,16000,some college but no degree
34,0,high school diploma or equivalent
26,30000,some college but no degree
23,0,some college but no degree
41,32000,some college but no degree
30,16000,grade 10
50,55000,high school diploma or equivalent
44,38000,some college but no degree
22,0,high school diploma or equivalent
21,5200,grades 7 or 8
24,20000,high school diploma or equivalent
41,70000,bachelor's degree
33,65000,bachelor's degree
49,0,high school diploma or equivalent
39,27400,high school diploma or equivalent
50,45000,some college but no degree
39,0,high school diploma or equivalent
41,52000,high school diploma or equivalent
34,40950,high school diploma or equivalent
28,29500,bachelor's degree
25,15000,grade 10
34,24341,some college but no degree
48,44300,high school diploma or equivalent
34,29700,bachelor's degree
31,68000,professional school degree
38,29120,some college but no degree
48,60000,high school diploma or equivalent
44,26000,"associate's degree, academic program"
36,24000,bachelor's degree
45,30000,some college but no degree
30,68000,bachelor's degree
40,50000,high school diploma or equivalent
24,20000,"associate's degree, occupational/vocational program"
33,27000,some college but no degree
30,25000,high school diploma or equivalent
30,22000,high school diploma or equivalent
23,45000,some college but no degree
30,62037,grade 9
34,50000,high school diploma or equivalent
45,50000,high school diploma or equivalent
50,63000,some college but no degree
50,27094,high school diploma or equivalent
48,54000,high school diploma or equivalent
30,21000,some college but no degree
29,3000,high school diploma or equivalent
44,23000,high school diploma or equivalent
22,2560,grade 11
43,87000,master's degree
44,41651,high school diploma or equivalent
50,32000,high school diploma or equivalent
24,16000,high school diploma or equivalent
37,46000,"associate's degree, academic program"
44,62864,"associate's degree, academic program"
44,0,some college but no degree
23,7000,high school diploma or equivalent
40,47000,high school diploma or equivalent
35,0,some college but no degree
40,40500,"12th grade, no diploma"
33,0,high school diploma or equivalent
43,2600,high school diploma or equivalent
47,52000,"associate's degree, academic program"
46,36000,high school diploma or equivalent
49,35000,high school diploma or equivalent
29,0,high school diploma or equivalent
36,45000,"associate's degree, academic program"
23,26000,high school diploma or equivalent
44,45000,high school diploma or equivalent
39,38000,"associate's degree, occupational/vocational program"
31,60000,bachelor's degree
33,31300,high school diploma or equivalent
29,47000,"associate's degree, academic program"
38,0,high school diploma or equivalent
25,19500,high school diploma or equivalent
40,50000,master's degree
47,43500,bachelor's degree
45,35000,high school diploma or equivalent
39,111000,bachelor's degree
26,28400,high school diploma or equivalent
30,19800,grade 11
43,0,high school diploma or equivalent
46,27000,high school diploma or equivalent
40,23000,grade 10
49,28000,high school diploma or equivalent
34,34000,"associate's degree, occupational/vocational program"
39,5600,master's degree
22,6967,some college but no degree
21,16000,high school diploma or equivalent
22,16000,high school diploma or equivalent
45,22904,high school diploma or equivalent
25,2800,some college but no degree
48,40000,high school diploma or equivalent
32,53000,some college but no degree
37,38000,"associate's degree, occupational/vocational program"
48,0,some college but no degree
22,5000,some college but no degree
49,38000,high school diploma or equivalent
39,30481,some college but no degree
50,91250,some college but no degree
33,35000,bachelor's degree
33,52000,professional school degree
24,19000,high school diploma or equivalent
21,11000,some college but no degree
29,20000,some college but no degree
26,0,"associate's degree, occupational/vocational program"
23,14400,high school diploma or equivalent
31,16000,high school diploma or equivalent
36,27000,master's degree
21,23700,high school diploma or equivalent
41,11000,high school diploma or equivalent
31,28000,some college but no degree
36,42000,high school diploma or equivalent
35,29000,high school diploma or equivalent
49,0,professional school degree
24,0,bachelor's degree
43,24000,some college but no degree
26,20000,"associate's degree, occupational/vocational program"
44,54000,"associate's degree, occupational/vocational program"
21,9000,some college but no degree
25,38000,doctorate degree
23,12250,bachelor's degree
26,8566,high school diploma or equivalent
42,50000,some college but no degree
37,0,high school diploma or equivalent
39,16640,high school diploma or equivalent
40,40000,high school diploma or equivalent
45,55000,bachelor's degree
46,50000,high school diploma or equivalent
22,11000,high school diploma or equivalent
41,50800,bachelor's degree
37,51000,high school diploma or equivalent
42,19000,bachelor's degree
34,26000,high school diploma or equivalent
48,0,bachelor's degree
33,100000,master's degree
49,0,high school diploma or equivalent
50,20800,grade 10
46,30000,high school diploma or equivalent
37,0,"associate's degree, occupational/vocational program"
38,60000,high school diploma or equivalent
33,35000,high school diploma or equivalent
46,0,some college but no degree
34,0,grades 7 or 8
50,65000,master's degree
33,30000,bachelor's degree
33,50000,some college but no degree
41,40000,high school diploma or equivalent
22,36000,high school diploma or equivalent
25,20000,some college but no degree
37,46000,bachelor's degree
38,50000,some college but no degree
24,21000,grade 10
22,13000,high school diploma or equivalent
32,3212,bachelor's degree
42,42000,high school diploma or equivalent
32,8000,bachelor's degree
34,32000,some college but no degree
44,45000,"associate's degree, academic program"
27,34000,bachelor's degree
45,25000,some college but no degree
47,140000,master's degree
31,80000,bachelor's degree
47,2312,high school diploma or equivalent
25,30500,high school diploma or equivalent
36,53000,some college but no degree
44,32000,high school diploma or equivalent
21,0,high school diploma or equivalent
22,0,bachelor's degree
23,1000,high school diploma or equivalent
22,600,some college but no degree
24,40000,some college but no degree
21,12000,high school diploma or equivalent
47,0,bachelor's degree
46,0,high school diploma or equivalent
50,72000,master's degree
35,60000,master's degree
44,35000,high school diploma or equivalent
32,4000,bachelor's degree
21,1200,some college but no degree
38,50000,some college but no degree
34,15000,high school diploma or equivalent
47,0,bachelor's degree
39,30000,high school diploma or equivalent
47,2880,high school diploma or equivalent
22,21580,high school diploma or equivalent
48,45000,"associate's degree, occupational/vocational program"
41,29000,"associate's degree, academic program"
48,36751,high school diploma or equivalent
37,0,high school diploma or equivalent
27,35000,some college but no degree
44,40000,high school diploma or equivalent
44,56000,bachelor's degree
37,17000,high school diploma or equivalent
45,35000,high school diploma or equivalent
33,42000,master's degree
33,12000,some college but no degree
47,170037,master's degree
46,21000,bachelor's degree
40,25000,high school diploma or equivalent
47,35000,some college but no degree
45,8000,high school diploma or equivalent
28,16000,high school diploma or equivalent
44,46000,high school diploma or equivalent
22,0,some college but no degree
22,47000,some college but no degree
38,90000,bachelor's degree
37,8000,high school diploma or equivalent
26,8500,bachelor's degree
26,60000,master's degree
34,80000,high school diploma or equivalent
43,0,master's degree
20,2000,some college but no degree
32,32000,professional school degree
25,11300,"associate's degree, occupational/vocational program"
47,10000,grades 7 or 8
38,0,high school diploma or equivalent
30,55000,high school diploma or equivalent
22,9496,some college but no degree
20,2400,high school diploma or equivalent
50,15000,high school diploma or equivalent
34,62000,bachelor's degree
34,0,high school diploma or equivalent
40,0,high school diploma or equivalent
37,13000,high school diploma or equivalent
50,130000,bachelor's degree
25,14000,high school diploma or equivalent
46,22091,high school diploma or equivalent
21,13000,some college but no degree
39,100000,high school diploma or equivalent
43,49000,high school diploma or equivalent
43,60000,doctorate degree
41,25000,some college but no degree
46,38000,high school diploma or equivalent
24,14000,high school diploma or equivalent
46,15000,some college but no degree
37,0,high school diploma or equivalent
27,27023,some college but no degree
42,0,grades 7 or 8
40,19000,high school diploma or equivalent
44,60000,some college but no degree
42,0,high school diploma or equivalent
26,13000,high school diploma or equivalent
46,28000,"associate's degree, academic program"
33,52000,bachelor's degree
30,56000,some college but no degree
39,43000,bachelor's degree
34,39000,high school diploma or equivalent
34,23000,some college but no degree
43,20000,"associate's degree, occupational/vocational program"
39,0,some college but no degree
38,44000,bachelor's degree
39,28080,high school diploma or equivalent
44,56000,bachelor's degree
49,60000,doctorate degree
37,42000,professional school degree
30,12800,some college but no degree
24,31000,bachelor's degree
40,42000,high school diploma or equivalent
23,2500,some college but no degree
30,36950,high school diploma or equivalent
41,74000,high school diploma or equivalent
34,30000,grade 10
42,0,high school diploma or equivalent
44,33000,some college but no degree
45,100000,professional school degree
50,52000,high school diploma or equivalent
42,85000,master's degree
43,47000,bachelor's degree
36,78000,high school diploma or equivalent
26,26500,bachelor's degree
24,25000,high school diploma or equivalent
27,18000,high school diploma or equivalent
49,0,some college but no degree
38,112000,master's degree
25,35000,bachelor's degree
45,65000,bachelor's degree
46,35000,some college but no degree
21,6000,some college but no degree
47,48000,some college but no degree
47,34000,"associate's degree, occupational/vocational program"
21,9000,some college but no degree
26,13000,high school diploma or equivalent
23,35000,high school diploma or equivalent
49,9000,high school diploma or equivalent
46,0,some college but no degree
27,35000,high school diploma or equivalent
48,1000,high school diploma or equivalent
31,2800,some college but no degree
34,25092,high school diploma or equivalent
30,40000,"associate's degree, occupational/vocational program"
28,28000,high school diploma or equivalent
46,38000,some college but no degree
45,31000,high school diploma or equivalent
21,0,some college but no degree
22,15000,high school diploma or equivalent
45,31000,high school diploma or equivalent
45,14400,high school diploma or equivalent
34,19000,some college but no degree
42,0,high school diploma or equivalent
33,72000,bachelor's degree
33,16000,"associate's degree, academic program"
48,205817,"associate's degree, occupational/vocational program"
48,60624,some college but no degree
31,20000,"associate's degree, occupational/vocational program"
49,125000,bachelor's degree
